model,density,noise,seed,va_mean,va_std,s_mean,s_std
vicsek,2,2.5,4,0.563690276,0.09196470091770986,0.9677049999999999,0.02644254100876086
vicsek,2,3.0,0,0.3472788706,0.14163445974212227,0.9638449999999998,0.03832480887101721
vicsek,2,3.0,1,0.4040334661,0.09834369209518322,0.9664849999999999,0.039052141746644314
vicsek,2,3.0,2,0.33977110281,0.17455379442536237,0.94682,0.076494690011791
vicsek,2,3.0,3,0.38067429960000004,0.12267649484239661,0.96613,0.05508559793630273
vicsek,2,3.0,4,0.3733948899,0.120072768660473,0.9877149999999999,0.013616305482765878
vicsek,2,3.5,0,0.2361895754,0.08886248645664702,0.9692449999999999,0.0409884736846836
vicsek,2,3.5,1,0.22045912615000002,0.10378457697219848,0.9524349999999999,0.08842847830308967
vicsek,2,3.5,2,0.23048593219999997,0.09177992241510484,0.960105,0.041391593047381006
vicsek,2,3.5,3,0.23179955700000002,0.0927827756911738,0.9449799999999999,0.06383650679665984
vicsek,2,3.5,4,0.23396148169999997,0.11369775989441207,0.9700500000000001,0.02872364008965437
vicsek,2,4.0,0,0.12697951688,0.0644691749406254,0.9794099999999999,0.031447605632225796
vicsek,2,4.0,1,0.11934502855,0.06448915212680197,0.98671,0.019065043928614488
vicsek,2,4.0,2,0.1343286459,0.06536945025119775,0.976665,0.04518465198493843
vicsek,2,4.0,3,0.13532185677,0.06714034942155563,0.988485,0.019397932235163624
vicsek,2,4.0,4,0.15767484321,0.07350856914680971,0.9692049999999999,0.04248873939057264
vicsek,2,4.5,0,0.10059841523,0.0506921283437284,0.982945,0.017864825076109758
vicsek,2,4.5,1,0.09270657557999999,0.0486872199687736,0.9879499999999999,0.014551546309585115
vicsek,2,4.5,2,0.09246474865,0.04640960113461863,0.98942,0.025611786349257253
vicsek,2,4.5,3,0.09550595078,0.04608634823479873,0.9793549999999999,0.022276870852972145
vicsek,2,4.5,4,0.0869737948,0.043483132167385946,0.9914949999999999,0.016425284624626748
vicsek,2,5.0,0,0.07313361531999998,0.03714891658154672,0.979035,0.023206545951519796
vicsek,2,5.0,1,0.0750439409,0.03753134925929309,0.9929599999999998,0.005063437567502935
vicsek,2,5.0,2,0.07332127609,0.037012784478049225,0.99399,0.012352323668039152
vicsek,2,5.0,3,0.07222222545999998,0.03775467768011788,0.9872649999999998,0.015605921151921793
vicsek,2,5.0,4,0.07381129099,0.036486970365876566,0.9971649999999999,0.007009834163516284
vicsek,4,0.0,0,1.0,0.0,1.0,0.0
vicsek,4,0.0,1,1.0,0.0,1.0,0.0
vicsek,4,0.0,2,1.0,0.0,1.0,0.0
vicsek,4,0.0,3,1.0,0.0,1.0,0.0
vicsek,4,0.0,4,1.0,0.0,1.0,0.0
vicsek,4,0.5,0,0.985862185,0.002077841039823546,0.9996525,0.0008648663191499413
vicsek,4,0.5,1,0.985372546,0.0021256810484839924,1.0,0.0
vicsek,4,0.5,2,0.9850755870000001,0.0033936907431925795,1.0,0.0
vicsek,4,0.5,3,0.985519368,0.0019267777517337067,0.9996499999999999,0.0012757350822173083
vicsek,4,0.5,4,0.9854026100000001,0.0028880008902180056,1.0,0.0
vicsek,4,1.0,0,0.9438254399999999,0.006474859895194642,0.9997474999999999,0.0011640419880743044
vicsek,4,1.0,1,0.942954787,0.00924539481740131,0.999985,0.0001930673457630741
vicsek,4,1.0,2,0.943021052,0.008801452879002193,0.9999574999999999,0.0003419703934553342
vicsek,4,1.0,3,0.9433845310000001,0.007764212568254363,1.0,0.0
vicsek,4,1.0,4,0.9447317749999999,0.00808368523078274,0.9994575,0.0018403651132316069
vicsek,4,1.5,0,0.8772128150000001,0.018695498076830557,0.9965350000000001,0.008211654827134419
vicsek,4,1.5,1,0.875031519,0.017172361154530816,0.997815,0.004410303277553584
vicsek,4,1.5,2,0.8762569680000001,0.016632879134262236,0.999725,0.0007822243923580842
vicsek,4,1.5,3,0.882040167,0.013494175611911643,0.9980325,0.0034691776763377032
vicsek,4,1.5,4,0.876401658,0.014953347973114116,0.9994675,0.001958365070664811
vicsek,4,2.0,0,0.794794241,0.022703585937488353,0.997345,0.005813860593443911
vicsek,4,2.0,1,0.771926225,0.04863662263924557,0.9995274999999999,0.0014037427648967557
vicsek,4,2.0,2,0.774787066,0.03737821326975975,0.9991100000000002,0.0021143320458243886
vicsek,4,2.0,3,0.7859054150000001,0.02710683926467221,0.9992475000000001,0.0013190882267687606
vicsek,4,2.0,4,0.7898687919999999,0.03425593888823858,0.9945375000000001,0.008818579463269588
vicsek,4,2.5,0,0.6793100950000001,0.03484185709622802,0.9996649999999999,0.0011512058894915308
vicsek,4,2.5,1,0.673287153,0.03171142521832771,0.9970249999999999,0.006226907338318121
vicsek,4,2.5,2,0.672073164,0.04400843587321758,0.9998400000000001,0.0006319810123729867
vicsek,4,2.5,3,0.6602890889999999,0.04554088242624509,0.9989250000000001,0.0028119166061602754
vicsek,4,2.5,4,0.686238616,0.03398916040602568,0.9991175000000001,0.0021365728983584885
vicsek,4,3.0,0,0.5307487599999999,0.05412065699945262,0.99701,0.0042496941066387335
vicsek,4,3.0,1,0.5235840909999999,0.07778481257222851,0.9991825000000001,0.001332457785447612
vicsek,4,3.0,2,0.534761867,0.06288766133510858,0.9994450000000001,0.002737147237544952
vicsek,4,3.0,3,0.549549447,0.058941923825535175,0.9988700000000001,0.00273140989234497
vicsek,4,3.0,4,0.50361434764,0.12136160403551884,0.9993075,0.001475362243654067
vicsek,4,3.5,0,0.4001565253,0.07667597038628145,0.9953474999999999,0.0050371612789347955
vicsek,4,3.5,1,0.37348258,0.07923339929928287,0.9992075,0.002483081502891114
vicsek,4,3.5,2,0.38188012760000006,0.09402497598180783,0.999345,0.0011920465594933596
vicsek,4,3.5,3,0.3737945078,0.09595617932228533,0.9975125,0.004839276159716441
vicsek,4,3.5,4,0.3633840118000001,0.08530581355263439,0.9950100000000001,0.01040432121764798
vicsek,4,4.0,0,0.19294672449,0.07347955235136056,0.9992025,0.0017910175180606046
vicsek,4,4.0,1,0.2069947911,0.08018893911294431,0.9989750000000002,0.0013179055353096981
vicsek,4,4.0,2,0.2127145476,0.06620653170843821,0.9987725000000001,0.0037214907967103635
vicsek,4,4.0,3,0.18192434363,0.07639931877024615,0.9999725,0.00032479801415648897
vicsek,4,4.0,4,0.19692528318000002,0.08421853766645528,0.9994875000000001,0.001425164464193517
vicsek,4,4.5,0,0.09551809858,0.046020039174217764,0.99997,0.00027221315177631823
vicsek,4,4.5,1,0.09290265286999999,0.048060900662462484,0.9999675,0.00028318501019650844
vicsek,4,4.5,2,0.09999399854499999,0.04915071032004739,0.9995400000000001,0.0012251122397560017
vicsek,4,4.5,3,0.09887518116999999,0.04652575096538167,1.0,0.0
vicsek,4,4.5,4,0.09548171557,0.04526994299911348,0.99997,0.00033406586176979916
vicsek,4,5.0,0,0.06152104924300001,0.03207135158634813,1.0,0.0
vicsek,4,5.0,1,0.062015543019999994,0.032381258097344975,0.9999874999999999,0.00039508701573197623
vicsek,4,5.0,2,0.06095190169999999,0.031825886248334566,0.9999825000000001,0.00023652431164681296
vicsek,4,5.0,3,0.06160468804,0.03179829799213734,0.9999975,7.901740314639389e-05
vicsek,4,5.0,4,0.062298245690000004,0.031431040700242135,0.9999625,0.000303881144528574
vicsek,8,0.0,0,1.0,0.0,1.0,0.0
vicsek,8,0.0,1,1.0,0.0,1.0,0.0
vicsek,8,0.0,2,1.0,0.0,1.0,0.0
vicsek,8,0.0,3,1.0,0.0,1.0,0.0
vicsek,8,0.0,4,1.0,0.0,1.0,0.0
vicsek,8,0.5,0,0.9878834499999999,0.000773251277076215,1.0,0.0
vicsek,8,0.5,1,0.9881990860000001,0.0007126521792599804,1.0,0.0
vicsek,8,0.5,2,0.988550316,0.0006165807717923097,1.0,0.0
vicsek,8,0.5,3,0.9881814130000001,0.0007590583050273525,0.999845,0.0004119769411022816
vicsek,8,0.5,4,0.98783646,0.0009052688067088133,1.0,0.0
vicsek,8,1.0,0,0.952552917,0.0026587461221619117,1.0,0.0
vicsek,8,1.0,1,0.952065933,0.003227583903558667,1.0,0.0
vicsek,8,1.0,2,0.952054516,0.003432833592201053,1.0,0.0
vicsek,8,1.0,3,0.953803631,0.0026308282549111794,0.9999825,0.00014686303142724203
vicsek,8,1.0,4,0.952876484,0.0029647573482064287,0.99996375,0.00020975804513772087
vicsek,8,1.5,0,0.895197625,0.005976708380737262,1.0,0.0
vicsek,8,1.5,1,0.896481679,0.005971632605406916,0.9999375,0.0002724311839712863
vicsek,8,1.5,2,0.8962994699999999,0.005355063851262652,1.0,0.0
vicsek,8,1.5,3,0.895977298,0.006243325257841049,1.0,0.0
vicsek,8,1.5,4,0.894643323,0.005834306336546874,1.0,0.0
vicsek,8,2.0,0,0.8180549220000001,0.010607555193818978,1.0,0.0
vicsek,8,2.0,1,0.818084778,0.009958201775758313,1.0,0.0
vicsek,8,2.0,2,0.8187882240000001,0.009204781225636166,1.0,0.0
vicsek,8,2.0,3,0.8186920989999998,0.0105994252811744,1.0,0.0
vicsek,8,2.0,4,0.81502944,0.012694585673679941,1.0,0.0
vicsek,8,2.5,0,0.724629768,0.015704704848426027,1.0,0.0
vicsek,8,2.5,1,0.7265461750000001,0.014545156554412707,1.0,0.0
vicsek,8,2.5,2,0.720797259,0.01642836106244074,0.99998125,0.000151940572264287
vicsek,8,2.5,3,0.724373081,0.014730791354589169,1.0,0.0
vicsek,8,2.5,4,0.7239065069999999,0.01609055304916369,1.0,0.0
vicsek,8,3.0,0,0.612002832,0.023786343547795994,1.0,0.0
vicsek,8,3.0,1,0.606427245,0.02662460102824031,1.0,0.0
vicsek,8,3.0,2,0.6136952120000001,0.02586933532766267,1.0,0.0
vicsek,8,3.0,3,0.6087865120000001,0.022057400100869914,1.0,0.0
vicsek,8,3.0,4,0.613061041,0.022170233186940523,0.99998,0.00015684387141357787
vicsek,8,3.5,0,0.493018557,0.030639017008950387,1.0,0.0
vicsek,8,3.5,1,0.490411019,0.03032390941360693,1.0,0.0
vicsek,8,3.5,2,0.49613957399999997,0.03198341722797181,1.0,0.0
vicsek,8,3.5,3,0.48561918600000004,0.03429888786860886,1.0,0.0
vicsek,8,3.5,4,0.49557098299999996,0.031091224271210534,1.0,0.0
vicsek,8,4.0,0,0.373861131,0.03504162347306185,1.0,0.0
vicsek,8,4.0,1,0.360008219,0.03777901715139025,1.0,0.0
vicsek,8,4.0,2,0.360930982,0.04001248874111277,1.0,0.0
vicsek,8,4.0,3,0.36346679900000006,0.032433413178396736,1.0,0.0
vicsek,8,4.0,4,0.355064522,0.040444994435820066,1.0,0.0
vicsek,8,4.5,0,0.1566193313,0.06478491504023703,1.0,0.0
vicsek,8,4.5,1,0.16157698645999996,0.0653163185145968,1.0,0.0
vicsek,8,4.5,2,0.16916787882,0.06101555577509628,1.0,0.0
vicsek,8,4.5,3,0.17329358249000001,0.06040154723235526,1.0,0.0
vicsek,8,4.5,4,0.15918939688999997,0.06304107190821256,1.0,0.0
vicsek,8,5.0,0,0.06168504018300001,0.03129722017687857,1.0,0.0
vicsek,8,5.0,1,0.06478153107,0.03185250187471502,1.0,0.0
vicsek,8,5.0,2,0.06278322217,0.03245285620514436,1.0,0.0
vicsek,8,5.0,3,0.05983779054,0.02999590314150757,1.0,0.0
vicsek,8,5.0,4,0.062980162995,0.031683134385365935,1.0,0.0
voter,2,0.0,0,1.0,0.0,1.0,0.0
voter,2,0.0,1,1.0,0.0,1.0,0.0
voter,2,0.0,2,0.9809903600000001,0.05665186549032961,1.0,0.0
voter,2,0.0,3,1.0,0.0,1.0,0.0
voter,2,0.0,4,1.0,0.0,0.9849999999999998,2.220446049250313e-16
voter,2,0.5,0,0.3830201338,0.14368772805448207,0.9746099999999999,0.022817710226926795
voter,2,0.5,1,0.37253453034,0.14964049574586974,0.9903099999999999,0.018260720139140187
voter,2,0.5,2,0.35574100015,0.16715259298953666,0.9914999999999999,0.016549924471126763
voter,2,0.5,3,0.36034925040000004,0.14691969530367127,0.9715849999999998,0.040180377984782564
voter,2,0.5,4,0.4195567029,0.14138288678213434,0.9661549999999999,0.07010557021378543
voter,2,1.0,0,0.2086799614,0.10366390222445232,0.98569,0.04246968212737174
voter,2,1.0,1,0.1872798505,0.08913943436127558,0.98857,0.01834816339582793
voter,2,1.0,2,0.20385442950000002,0.10212753399760861,0.9852299999999999,0.02189057102955517
voter,2,1.0,3,0.20645944062000002,0.09024521332182013,0.9680349999999999,0.04459836067615041
voter,2,1.0,4,0.20565644409999997,0.10616238237458382,0.981225,0.02861423378320656
voter,2,1.5,0,0.14876237489,0.06999152023274306,0.983375,0.021094652758459915
voter,2,1.5,1,0.14221957059999998,0.07216230582026059,0.9841799999999998,0.023697628573340415
voter,2,1.5,2,0.13578440121,0.07051482166995938,0.989375,0.023285926543730233
voter,2,1.5,3,0.1290080654,0.06452353100468136,0.9880050000000001,0.0136343307499855
voter,2,1.5,4,0.13107499163,0.06905186495965207,0.986585,0.01793356559638936
voter,2,2.0,0,0.107598067,0.05270109382555813,0.9854700000000001,0.03623505347036209
voter,2,2.0,1,0.10990675995,0.05610949267186578,0.9902449999999999,0.01593784725111896
voter,2,2.0,2,0.11042766521,0.055033924193789836,0.9928949999999999,0.010475875858370993
voter,2,2.0,3,0.10621463429,0.057153993495218096,0.9767049999999999,0.031595379013393717
voter,2,2.0,4,0.11562892821,0.05939956648094457,0.9882849999999999,0.012293647749956078
voter,2,2.5,0,0.08835739699,0.046889431689409296,0.9907499999999999,0.01656162733550058
voter,2,2.5,1,0.09259975390000001,0.047533237857464807,0.99232,0.011634758269942707
voter,2,2.5,2,0.09312847814,0.04913697059689524,0.992215,0.014398568505236894
voter,2,2.5,3,0.09737267073,0.05107181034228073,0.996145,0.007849456987588384
voter,2,2.5,4,0.09499017651,0.049201964289676305,0.9940549999999998,0.008356552817998587
voter,2,3.0,0,0.08377081608,0.04343985292728599,0.99633,0.016052448411379497
voter,2,3.0,1,0.08281149141000001,0.04374416252942762,0.99472,0.009282865936767597
voter,2,3.0,2,0.08094015404,0.040605591407441036,0.9869749999999999,0.03761548052331646
voter,2,3.0,3,0.08382753519,0.04510726395877092,0.9885799999999999,0.010806646103208905
voter,2,3.0,4,0.07757683657999999,0.03987068977311194,0.9932999999999998,0.016550226584551637
voter,2,3.5,0,0.07461244321,0.039308165652060835,0.99479,0.0073352505069697585
voter,2,3.5,1,0.074016949595,0.039041974990207846,0.989375,0.01620754068327457
voter,2,3.5,2,0.07334323421000001,0.03741084479341391,0.9926199999999998,0.014367866925887098
voter,2,3.5,3,0.07354933564999999,0.038745431597926164,0.99119,0.014040438027355136
voter,2,3.5,4,0.07311596997,0.038981414955309414,0.9958799999999999,0.007795870701852367
voter,2,4.0,0,0.07019130117,0.037152851484640835,0.997995,0.010247193518227319
voter,2,4.0,1,0.06973060719,0.03606476054970678,0.99239,0.010098905881331905
voter,2,4.0,2,0.06842766653999999,0.03532752363566005,0.9899749999999999,0.014680748448222938
voter,2,4.0,3,0.068610765601,0.03570132690207868,0.9714199999999998,0.026915304196683344
voter,2,4.0,4,0.07192478908000001,0.0365162652849899,0.985645,0.018699170436145027
voter,2,4.5,0,0.06502445914,0.03337673372795686,0.9962349999999999,0.007819832159324145
voter,2,4.5,1,0.06709102188999999,0.034223996269484594,0.994015,0.009085965826482077
voter,2,4.5,2,0.06726416740999999,0.033306548963517306,0.99825,0.0038454518590147536
voter,2,4.5,3,0.06614276733,0.03464616153799177,0.994385,0.008145352969638585
voter,2,4.5,4,0.06416167463000001,0.033062909053506256,0.9919849999999999,0.012273335936085192
voter,2,5.0,0,0.06548014522,0.03303929580072572,0.9952349999999999,0.0063968566499492605
voter,2,5.0,1,0.06541343716,0.033242142684290384,0.99147,0.015530264002907364
voter,2,5.0,2,0.06573426049,0.032791431994553304,0.9941899999999999,0.008731775306316587
voter,2,5.0,3,0.06510398499999999,0.03338613904468823,0.99527,0.009804442870454193
voter,2,5.0,4,0.062285345281,0.033178619304078595,0.994755,0.008241054240811677
voter,4,0.0,0,0.985066843,0.019078259037458082,1.0,0.0
voter,4,0.0,1,1.0,0.0,0.9975000000000005,4.440892098500626e-16
voter,4,0.0,2,1.0,0.0,1.0,0.0
voter,4,0.0,3,0.8955848920000001,0.044336666883611535,0.9996875,0.0019515618744994929
voter,4,0.0,4,1.0,0.0,1.0,0.0
voter,4,0.5,0,0.251718423,0.12585345443235904,0.9990275000000002,0.0028368986146846942
voter,4,0.5,1,0.3398131088,0.12309133797039629,0.999615,0.0018879287592491337
voter,4,0.5,2,0.28810014565,0.15061115444029638,1.0,0.0
voter,4,0.5,3,0.23641789427999998,0.11705274352821605,0.9992775,0.003545665487605953
voter,4,0.5,4,0.26925642746,0.11365383249453634,1.0,0.0
voter,4,1.0,0,0.14289939511,0.0828876963017982,0.999985,0.0001930673457630741
voter,4,1.0,1,0.153258868259,0.08538975043971153,0.999465,0.0016244306694962285
voter,4,1.0,2,0.16777283159999998,0.08125689249037242,0.999835,0.0006207052440570995
voter,4,1.0,3,0.13978977414,0.07556629578487192,0.9996124999999999,0.0010337280832017506
voter,4,1.0,4,0.13438531434999998,0.0692750026913524,0.999715,0.001237446968560663
voter,4,1.5,0,0.10246101168,0.060216976478712485,1.0,0.0
voter,4,1.5,1,0.11562074768000001,0.05543692966311612,0.99959,0.0012173331507849335
voter,4,1.5,2,0.10389186031,0.051687080394474776,0.999835,0.0007812009984632595
voter,4,1.5,3,0.10878090665199999,0.05295015412043437,1.0,0.0
voter,4,1.5,4,0.09687585197,0.048945415359924575,0.9999175,0.00044659125607202777
voter,4,2.0,0,0.078717983586,0.0407454547097406,0.999895,0.0005014728307695137
voter,4,2.0,1,0.07885097571,0.04069480328255061,0.99999,0.00015779733838059166
voter,4,2.0,2,0.07955268363,0.03996454673153759,0.999995,0.00011169153951844099
voter,4,2.0,3,0.07639413929,0.03823323203771546,0.99998,0.000446766158073774
voter,4,2.0,4,0.07849605375999999,0.03936251273990677,1.0,0.0
voter,4,2.5,0,0.06819663803,0.035305784281573535,1.0,0.0
voter,4,2.5,1,0.06580669086,0.03489769008461654,1.0,0.0
voter,4,2.5,2,0.06740619744500001,0.03648458702477607,0.9995625,0.0016925849313993086
voter,4,2.5,3,0.07023011492,0.033130982766946655,1.0,0.0
voter,4,2.5,4,0.06578179585999999,0.03535127687508109,0.9999625,0.0006836254456937632
voter,4,3.0,0,0.05677743979,0.02980501536104934,0.999995,0.00011169153951844098
voter,4,3.0,1,0.05883712813,0.03010906337131271,1.0,0.0
voter,4,3.0,2,0.060572208005999995,0.03044954153203726,1.0,0.0
voter,4,3.0,3,0.06021696221,0.03149961766082588,1.0,0.0
voter,4,3.0,4,0.058708667230000004,0.030002003453336024,1.0,0.0
voter,4,3.5,0,0.05235889519,0.026923116276518434,1.0,0.0
voter,4,3.5,1,0.052206878170000005,0.02820795635751168,1.0,0.0
voter,4,3.5,2,0.054466791948000005,0.028371992996186503,1.0,0.0
voter,4,3.5,3,0.053861709954000005,0.028519890364303364,1.0,0.0
voter,4,3.5,4,0.05226120018,0.02751352722434217,1.0,0.0
voter,4,4.0,0,0.05091691049,0.026548769013506564,1.0,0.0
voter,4,4.0,1,0.05036321856,0.025116445466004767,1.0,0.0
voter,4,4.0,2,0.04876933141,0.02566429117766663,1.0,0.0
voter,4,4.0,3,0.04938919526000001,0.025047731784670277,0.999995,0.00011169153951844099
voter,4,4.0,4,0.049073348952,0.025138220610669726,1.0,0.0
voter,4,4.5,0,0.04766866469,0.024519878331252985,1.0,0.0
voter,4,4.5,1,0.047790642832000005,0.0247504124116855,1.0,0.0
voter,4,4.5,2,0.046461713759999995,0.02413975433159408,1.0,0.0
voter,4,4.5,3,0.045678957519,0.024294972178852122,1.0,0.0
voter,4,4.5,4,0.046668719698999994,0.023988293582590192,1.0,0.0
voter,4,5.0,0,0.043569301048,0.022952590006950813,1.0,0.0
voter,4,5.0,1,0.045265162350000006,0.02313598931312721,0.99994,0.0006681317235395983
voter,4,5.0,2,0.045007959060000005,0.023532347624621325,1.0,0.0
voter,4,5.0,3,0.04524561333,0.022643331599007877,1.0,0.0
voter,4,5.0,4,0.047150019060000006,0.024091099262556533,1.0,0.0
voter,8,0.0,0,0.33167469600000005,0.16016891943756625,1.0,0.0
voter,8,0.0,1,1.0,0.0,1.0,0.0
voter,8,0.0,2,1.0,0.0,1.0,0.0
voter,8,0.0,3,0.8007400219999999,0.020692732811001934,1.0,0.0
voter,8,0.0,4,1.0,0.0,1.0,0.0
voter,8,0.5,0,0.1791582368,0.10037975158510368,1.0,0.0
voter,8,0.5,1,0.22517277088,0.10373386051601044,1.0,0.0
voter,8,0.5,2,0.21373518595000002,0.09934146005072281,1.0,0.0
voter,8,0.5,3,0.19289424232,0.0944892518306993,1.0,0.0
voter,8,0.5,4,0.18918512595,0.07807013413807305,1.0,0.0
voter,8,1.0,0,0.10361684103,0.04854689222975819,1.0,0.0
voter,8,1.0,1,0.10474930543,0.05326895332861228,1.0,0.0
voter,8,1.0,2,0.1005211545,0.05686259638774159,1.0,0.0
voter,8,1.0,3,0.11275824752,0.05478991780646537,1.0,0.0
voter,8,1.0,4,0.19073938806706114,0.25063070776453283,1.0,0.0
voter,8,1.5,0,0.07646194615,0.041916755111265774,1.0,0.0
voter,8,1.5,1,0.06717317259000001,0.03548521554635081,1.0,0.0
voter,8,1.5,2,0.06879673087,0.03563898385956718,1.0,0.0
voter,8,1.5,3,0.07363292926,0.03956843445320524,1.0,0.0
voter,8,1.5,4,0.07535073039,0.04065419996308021,1.0,0.0
voter,8,2.0,0,0.05530771543,0.02907165003789319,1.0,0.0
voter,8,2.0,1,0.056533210943,0.029813547020537824,1.0,0.0
voter,8,2.0,2,0.057818268160000005,0.030605447289452012,1.0,0.0
voter,8,2.0,3,0.05965732681,0.028851917225537402,1.0,0.0
voter,8,2.0,4,0.05599990312,0.029275440332178018,1.0,0.0
voter,8,2.5,0,0.04531242081,0.022836575623998302,1.0,0.0
voter,8,2.5,1,0.04477040414,0.02439095057374148,1.0,0.0
voter,8,2.5,2,0.046598164909999996,0.02516379145845264,1.0,0.0
voter,8,2.5,3,0.04703205323,0.024448326969074875,1.0,0.0
voter,8,2.5,4,0.04838391385,0.02630585574510534,1.0,0.0
voter,8,3.0,0,0.04083778775000001,0.02134040148374084,1.0,0.0
voter,8,3.0,1,0.03981141695,0.021341792107879752,1.0,0.0
voter,8,3.0,2,0.041004021191999994,0.02167812442878254,1.0,0.0
voter,8,3.0,3,0.04172282176,0.021223019969090456,1.0,0.0
voter,8,3.0,4,0.041325274733,0.021208681211836684,1.0,0.0
voter,8,3.5,0,0.03829130621,0.0197731095616816,1.0,0.0
voter,8,3.5,1,0.03608002284299999,0.018985034168302814,1.0,0.0
voter,8,3.5,2,0.03703773167,0.019582013441265856,1.0,0.0
voter,8,3.5,3,0.036751042345,0.019087755116382728,1.0,0.0
voter,8,3.5,4,0.038654461855,0.02004591646385743,1.0,0.0
voter,8,4.0,0,0.03487790149,0.017599021082351417,1.0,0.0
voter,8,4.0,1,0.03366324584,0.01792408288502442,1.0,0.0
voter,8,4.0,2,0.03462536607,0.01782028127121175,1.0,0.0
voter,8,4.0,3,0.034526785927,0.018279700624865475,1.0,0.0
voter,8,4.0,4,0.03559075625,0.018011829841894443,1.0,0.0
voter,8,4.5,0,0.032267358738,0.017585987538050473,1.0,0.0
voter,8,4.5,1,0.032052292645,0.016979272940440365,1.0,0.0
voter,8,4.5,2,0.03372757416,0.01679652331907173,1.0,0.0
voter,8,4.5,3,0.033395681369,0.017504484771336083,1.0,0.0
voter,8,4.5,4,0.03273811322799999,0.016473144115299487,1.0,0.0
voter,8,5.0,0,0.03237911564,0.017280517894740968,1.0,0.0
voter,8,5.0,1,0.032446660210000006,0.01760245665403177,1.0,0.0
voter,8,5.0,2,0.032675987345000004,0.0171456460398909,1.0,0.0
voter,8,5.0,3,0.032450031190000006,0.0177169492225653,1.0,0.0
voter,8,5.0,4,0.031904027418,0.01750175716555016,1.0,0.0
